StudentID,Gender,AdmissionQuota,AccommodationType,IsRural,NumberOfSiblings,MotherEducation,FatherEducation,IsFatherLiterate,IsMotherLiterate,IsFirstGenerationLearner,CommuteTimeMinutes,FamilyAnnualIncome,FamilyEconomicStatus,HasReliableInternet,HasOwnLaptop,IsPreparingCompetitiveExam,AvgPastPerformance,MediumChanged,AvgMarks_LatestTerm,AvgMarks_PreviousTerm,MarksTrend,FailureRate_LatestTerm,AvgAttendance_LatestTerm,WorksPartTime,IsDropout
RJ_2025,Female,SC,DayScholar,TRUE,0,Primary (Up to 5th),High School (10th),FALSE,TRUE,TRUE,63,118376.5577,BPL,TRUE,FALSE,FALSE,85.62701857,TRUE,65.19585897,81.65677728,-16.46091832,0.104120423,60.51960147,TRUE,TRUE
RJ_2026,Male,ST,DayScholar,TRUE,2,No Formal Education,Middle (Up to 8th),TRUE,FALSE,TRUE,61,165264.9973,General_Tier,FALSE,TRUE,FALSE,51.49911834,FALSE,56.29464252,48.84500946,7.449633052,0.145424317,72.40651104,FALSE,FALSE
RJ_2027,Male,EWS,DayScholar,TRUE,2,No Formal Education,High School (10th),TRUE,FALSE,TRUE,54,192962.9137,EWS,TRUE,TRUE,TRUE,82.72707064,TRUE,60.31911619,78.16540116,-17.84628497,0.148579604,72.69645851,FALSE,FALSE
RJ_2028,Female,OBC,DayScholar,TRUE,2,Middle (Up to 8th),Middle (Up to 8th),TRUE,TRUE,TRUE,71,40000,BPL,TRUE,FALSE,FALSE,66.49618415,FALSE,65.10480914,62.07796186,3.026847278,0.097489443,87.33516836,TRUE,FALSE
RJ_2029,Male,OBC,DayScholar,TRUE,0,Middle (Up to 8th),Primary (Up to 5th),FALSE,FALSE,TRUE,82,357148.7265,General_Tier,FALSE,TRUE,TRUE,81.81212867,TRUE,49.22817854,74.42765212,-25.19947358,0.064415475,73.42047797,FALSE,FALSE
RJ_2030,Male,EWS,Hostel,TRUE,2,Middle (Up to 8th),Primary (Up to 5th),TRUE,TRUE,TRUE,39,232373.8677,EWS,FALSE,FALSE,TRUE,61.50019013,FALSE,46.11577565,66.00979927,-19.89402362,0.275068976,74.44472505,FALSE,FALSE
RJ_2031,Male,OBC,DayScholar,TRUE,3,Middle (Up to 8th),No Formal Education,FALSE,FALSE,TRUE,47,285886.648,General_Tier,FALSE,FALSE,FALSE,70.74505661,TRUE,49.15419008,64.06432282,-14.91013274,0.221810905,82.81196657,TRUE,TRUE
RJ_2032,Female,OBC,DayScholar,TRUE,1,Primary (Up to 5th),No Formal Education,FALSE,TRUE,TRUE,66,271597.6858,General_Tier,FALSE,FALSE,FALSE,68.16828825,FALSE,63.18922083,66.05445135,-2.865230528,0.073917449,54.96887256,FALSE,FALSE
RJ_2033,Male,OBC,DayScholar,TRUE,0,Middle (Up to 8th),Primary (Up to 5th),TRUE,TRUE,TRUE,63,307027.0876,General_Tier,TRUE,TRUE,TRUE,78.89956633,TRUE,37.31827622,75.15304382,-37.8347676,0.26333782,76.80009528,FALSE,FALSE
RJ_2034,Female,OBC,DayScholar,TRUE,1,No Formal Education,Middle (Up to 8th),TRUE,FALSE,TRUE,53,296118.9129,General_Tier,TRUE,FALSE,FALSE,78.64586678,FALSE,81.549145,77.49307774,4.056067255,0.036365636,68.27854662,FALSE,FALSE
RJ_2035,Male,OBC,DayScholar,TRUE,3,Senior Secondary (12th),Senior Secondary (12th),TRUE,TRUE,FALSE,60,470388.0762,General_Tier,TRUE,TRUE,FALSE,77.39965331,FALSE,75.26638388,70.86511722,4.401266651,0.085023982,83.50390003,FALSE,FALSE
RJ_2036,Female,EWS,DayScholar,TRUE,1,No Formal Education,High School (10th),TRUE,FALSE,TRUE,53,412888.4995,EWS,TRUE,TRUE,FALSE,92.45833012,FALSE,95,95,0,0,69.02231389,FALSE,FALSE
RJ_2037,Male,SC,DayScholar,TRUE,1,No Formal Education,Middle (Up to 8th),TRUE,FALSE,TRUE,47,286678.9578,General_Tier,TRUE,FALSE,FALSE,66.9300654,TRUE,49.81284512,62.30056428,-12.48771916,0.321906608,63.063962,TRUE,TRUE
RJ_2038,Female,General,DayScholar,TRUE,1,Middle (Up to 8th),Middle (Up to 8th),TRUE,TRUE,TRUE,74,168303.2263,General_Tier,TRUE,FALSE,FALSE,60.91394061,TRUE,30,58.36014087,-28.36014087,0.248905338,72.31765304,FALSE,TRUE
RJ_2039,Female,OBC,DayScholar,TRUE,2,Primary (Up to 5th),Primary (Up to 5th),TRUE,TRUE,TRUE,87,127391.5414,General_Tier,TRUE,FALSE,FALSE,78.78378281,TRUE,69.60392494,77.2353286,-7.631403658,0.12631196,78.57716425,FALSE,FALSE
RJ_2040,Female,OBC,DayScholar,TRUE,1,High School (10th),Primary (Up to 5th),TRUE,TRUE,FALSE,54,123956.089,General_Tier,FALSE,FALSE,FALSE,74.38721079,FALSE,73.08098234,59.88705936,13.19392298,0,64.66410937,TRUE,FALSE
RJ_2041,Male,SC,Hostel,TRUE,1,Middle (Up to 8th),Senior Secondary (12th),TRUE,TRUE,TRUE,22,336740.2141,General_Tier,TRUE,TRUE,FALSE,87.47278773,FALSE,86.44496487,91.59273256,-5.147767682,0,79.71704963,FALSE,FALSE
RJ_2042,Male,OBC,DayScholar,TRUE,1,Senior Secondary (12th),High School (10th),TRUE,FALSE,TRUE,88,417697.0206,General_Tier,TRUE,TRUE,TRUE,45.70426022,FALSE,30.22508965,40.38796944,-10.16287978,0.351371397,65.4582848,FALSE,FALSE
RJ_2043,Female,OBC,Hostel,TRUE,1,High School (10th),No Formal Education,FALSE,FALSE,TRUE,22,331497.6148,General_Tier,TRUE,TRUE,TRUE,51.69187782,FALSE,41.31729004,61.7252341,-20.40794406,0.289153731,64.95843236,FALSE,FALSE
RJ_2044,Female,SC,DayScholar,FALSE,0,No Formal Education,No Formal Education,FALSE,FALSE,TRUE,44,136297.049,General_Tier,FALSE,FALSE,FALSE,72.90956133,FALSE,65.55729047,70.76539133,-5.208100862,0.163536041,70.18872056,TRUE,FALSE
RJ_2045,Male,OBC,Rented,TRUE,1,No Formal Education,Middle (Up to 8th),FALSE,FALSE,TRUE,32,352051.0868,General_Tier,TRUE,TRUE,FALSE,69.04743433,FALSE,61.14707465,72.12359365,-10.976519,0.171022083,86.93977215,FALSE,FALSE
RJ_2046,Male,ST,DayScholar,TRUE,1,No Formal Education,No Formal Education,FALSE,FALSE,TRUE,63,84481.22357,BPL,TRUE,FALSE,FALSE,53.94266658,TRUE,39.17351089,53.40923595,-14.23572506,0.239922146,74.17363366,FALSE,TRUE
RJ_2047,Female,OBC,DayScholar,FALSE,2,Middle (Up to 8th),Middle (Up to 8th),TRUE,TRUE,TRUE,41,204736.9811,General_Tier,TRUE,FALSE,TRUE,65.04046989,FALSE,49.24688789,66.13672067,-16.88983279,0.370451218,82.79007053,FALSE,FALSE
RJ_2048,Male,OBC,Hostel,TRUE,2,Middle (Up to 8th),Middle (Up to 8th),TRUE,FALSE,TRUE,27,153833.4016,General_Tier,TRUE,FALSE,FALSE,59.89859268,TRUE,39.10383926,59.25476173,-20.15092246,0.219100842,66.82851637,TRUE,TRUE
RJ_2049,Female,OBC,DayScholar,TRUE,2,Middle (Up to 8th),Senior Secondary (12th),TRUE,FALSE,FALSE,86,393946.4003,General_Tier,TRUE,FALSE,FALSE,63.54900611,TRUE,46.75088434,54.06902709,-7.318142748,0.341541929,53.37678866,FALSE,FALSE
RJ_2050,Female,SC,Hostel,TRUE,1,Graduate or Higher,Senior Secondary (12th),TRUE,TRUE,FALSE,27,244385.6002,General_Tier,TRUE,FALSE,FALSE,84.85685192,FALSE,82.0737195,78.66341759,3.410301912,0,66.54323725,FALSE,FALSE
RJ_2051,Male,SC,DayScholar,FALSE,2,Primary (Up to 5th),High School (10th),TRUE,FALSE,TRUE,21,285341.7934,General_Tier,FALSE,FALSE,FALSE,78.71039301,FALSE,81.70313925,77.68306699,4.020072258,0,74.27372461,TRUE,FALSE
RJ_2052,Male,General,DayScholar,TRUE,2,No Formal Education,No Formal Education,FALSE,FALSE,TRUE,62,111438.673,BPL,TRUE,FALSE,FALSE,54.00799262,FALSE,56.9867962,58.08048652,-1.093690323,0.140427135,68.68651317,FALSE,FALSE
